protein_accession	foldseek_rank	query	target	evalue	bits	prob	alnlen	pident	lddt	alntmscore	qtmscore	ttmscore	taxid	taxname
YP_010084498.1	3	YP_010084498.1	1ktm-assembly1_A	2.665E+00	46	0.353	165	12.100	3.897E-01	5.448E-01	1.729E-01	5.390E-01	9031	Gallus gallus
YP_010084498.1	4	YP_010084498.1	2l6h-assembly1_A	2.790E+00	40	0.214	177	14.600	3.681E-01	4.291E-01	1.551E-01	4.251E-01	0	unclassified
YP_010084498.1	5	YP_010084498.1	7cuq-assembly1_C	6.088E+00	34	0.126	186	12.900	3.850E-01	4.306E-01	1.647E-01	4.098E-01	562	Escherichia coli
YP_010084498.1	6	YP_010084498.1	8qqk-assembly1_C	7.658E+00	33	0.116	187	9.600	3.973E-01	4.467E-01	1.689E-01	3.930E-01	469008	Escherichia coli BL21(DE3)
YP_010084498.1	7	YP_010084498.1	2l6f-assembly1_A	6.374E+00	30	0.090	174	14.900	3.537E-01	3.927E-01	1.489E-01	3.502E-01	0	unclassified
YP_010084498.1	8	YP_010084498.1	6lum-assembly1_C	9.633E+00	27	0.069	144	9.700	4.151E-01	3.444E-01	9.462E-02	3.346E-01	1445611	Mycolicibacterium smegmatis MC2 51
YP_010084498.1	9	YP_010084498.1	8e0o-assembly1_B	9.633E+00	26	0.063	207	11.500	3.526E-01	3.579E-01	1.446E-01	3.299E-01	32630	synthetic construct
YP_010084498.1	10	YP_010084498.1	8cdd-assembly1_C	1.468E+00	26	0.063	343	13.100	3.072E-01	1.700E-01	9.618E-02	1.596E-01	36329	Plasmodium falciparum 3D7
YP_010084498.1	11	YP_010084498.1	6zbg-assembly1_C	5.067E+00	24	0.051	323	11.400	3.817E-01	2.111E-01	1.215E-01	2.030E-01	5833	Plasmodium falciparum
YP_010084498.1	12	YP_010084498.1	3ja6-assembly1_I	7.658E+00	24	0.051	266	12.000	3.852E-01	2.397E-01	1.097E-01	1.898E-01	562	Escherichia coli
YP_010084498.1	13	YP_010084498.1	3zx6-assembly1_A	1.536E+00	24	0.051	290	13.100	3.274E-01	1.395E-01	7.174E-02	1.197E-01	224325	Archaeoglobus fulgidus DSM 4304
YP_010084498.1	14	YP_010084498.1	7a0g-assembly1_HHH	4.028E+00	23	0.045	349	9.100	3.285E-01	1.961E-01	1.276E-01	1.847E-01	615	Serratia marcescens
YP_010084498.1	15	YP_010084498.1	6h2f-assembly1_A	3.352E+00	22	0.040	321	11.200	3.317E-01	1.669E-01	1.154E-01	1.712E-01	1418110	Aeromonas hydrophila subsp. hydrophila AL09-71
YP_010084498.1	16	YP_010084498.1	7tut-assembly1_6	9.201E+00	22	0.040	224	12.000	3.557E-01	2.462E-01	1.153E-01	2.246E-01	9612	Canis lupus
YP_010084498.1	17	YP_010084498.1	8ugl-assembly1_4C	5.815E+00	22	0.040	270	10.300	3.825E-01	1.913E-01	1.131E-01	1.784E-01	9823	Sus scrofa
YP_010084498.1	18	YP_010084498.1	7a0g-assembly1_EEE	3.058E+00	22	0.040	355	11.200	3.225E-01	1.560E-01	9.797E-02	1.477E-01	615	Serratia marcescens
YP_010084498.1	19	YP_010084498.1	2h7v-assembly2_D	5.067E+00	22	0.040	314	10.100	3.636E-01	1.737E-01	8.698E-02	1.673E-01	633	Yersinia pseudotuberculosis
YP_010084498.1	20	YP_010084498.1	8brd-assembly1_D	6.986E+00	22	0.040	187	12.200	3.195E-01	2.484E-01	8.306E-02	1.726E-01	663	Vibrio alginolyticus
YP_007675791.1	1	YP_007675791.1	8dgc-assembly1_H	6.613E-19	409	1.000	557	14.500	5.230E-01	4.642E-01	4.041E-01	4.020E-01	2744002	Escherichia phage PhiV-1
YP_007675791.1	2	YP_007675791.1	3cpe-assembly1_A	6.265E-16	314	1.000	484	13.800	4.800E-01	4.072E-01	3.299E-01	3.216E-01	10665	Tequatrovirus T4
YP_007675791.1	3	YP_007675791.1	4bij-assembly1_A	1.512E-10	205	1.000	498	12.000	4.417E-01	3.894E-01	3.261E-01	3.612E-01	10760	Escherichia phage T7
YP_007675791.1	4	YP_007675791.1	4bil-assembly1_A	7.617E-11	204	1.000	497	12.600	4.291E-01	3.785E-01	3.215E-01	3.527E-01	10760	Escherichia phage T7
YP_007675791.1	5	YP_007675791.1	6z6d-assembly1_A	8.361E-13	238	1.000	522	12.000	4.323E-01	3.817E-01	3.211E-01	3.539E-01	37554	Byrnievirus HK97
YP_007675791.1	6	YP_007675791.1	3ezk-assembly1_A	1.476E-15	282	1.000	531	13.500	4.574E-01	3.604E-01	3.193E-01	3.107E-01	10665	Tequatrovirus T4
YP_007675791.1	7	YP_007675791.1	4ife-assembly1_A	1.073E-10	200	1.000	502	9.500	4.320E-01	3.724E-01	3.090E-01	3.687E-01	10761	Lederbergvirus Sf6
YP_007675791.1	8	YP_007675791.1	4iee-assembly1_A	1.694E-10	194	1.000	501	9.500	4.221E-01	3.694E-01	3.087E-01	3.549E-01	10761	Lederbergvirus Sf6
YP_007675791.1	9	YP_007675791.1	4iei-assembly1_A	3.110E-12	216	1.000	501	10.300	3.980E-01	3.717E-01	3.050E-01	3.527E-01	10761	Lederbergvirus Sf6
YP_007675791.1	10	YP_007675791.1	6m5r-assembly1_A	3.045E-14	227	1.000	529	13.200	3.964E-01	3.153E-01	2.791E-01	2.378E-01	10299	Human alphaherpesvirus 1 strain 17
YP_007675791.1	11	YP_007675791.1	3n4p-assembly1_B	2.741E-05	165	1.000	220	12.700	4.892E-01	6.978E-01	2.785E-01	5.873E-01	10363	Human herpesvirus 5 strain Towne
YP_007675791.1	12	YP_007675791.1	6m5v-assembly1_A	5.829E-12	197	1.000	533	12.700	3.892E-01	3.295E-01	2.784E-01	2.590E-01	10299	Human alphaherpesvirus 1 strain 17
YP_007675791.1	13	YP_007675791.1	3c6a-assembly1_A	2.589E-05	170	1.000	212	12.700	5.168E-01	6.976E-01	2.706E-01	6.633E-01	50948	Escherichia phage RB49
YP_007675791.1	14	YP_007675791.1	4iox-assembly1_A	1.577E-06	181	1.000	233	15.000	4.561E-01	6.549E-01	2.698E-01	5.731E-01	10298	Human alphaherpesvirus 1
YP_007675791.1	15	YP_007675791.1	6ey7-assembly2_B	5.538E-06	173	1.000	224	12.500	4.707E-01	6.642E-01	2.692E-01	5.654E-01	10360	Human herpesvirus 5 strain AD169
YP_007675791.1	16	YP_007675791.1	6ey7-assembly1_A	4.583E-05	149	1.000	222	12.600	4.612E-01	6.466E-01	2.643E-01	5.528E-01	10360	Human herpesvirus 5 strain AD169
YP_007675791.1	17	YP_007675791.1	6m5t-assembly1_A	2.309E-05	162	1.000	226	14.100	4.726E-01	6.845E-01	2.623E-01	5.225E-01	10299	Human alphaherpesvirus 1 strain 17
YP_007675791.1	18	YP_007675791.1	6ey7-assembly3_C	3.253E-05	151	1.000	224	9.800	4.524E-01	6.507E-01	2.605E-01	5.637E-01	10360	Human herpesvirus 5 strain AD169
YP_007675791.1	19	YP_007675791.1	3c6h-assembly2_B	4.328E-05	183	1.000	175	11.400	5.441E-01	8.183E-01	2.577E-01	6.744E-01	50948	Escherichia phage RB49
YP_007675791.1	20	YP_007675791.1	3n4q-assembly1_B	2.902E-05	145	1.000	221	12.600	4.286E-01	6.223E-01	2.555E-01	5.411E-01	10363	Human herpesvirus 5 strain Towne
NP_740662.1	1	NP_740662.1	4hbo-assembly5_E-4	1.609E-04	76	0.971	97	83.500	3.542E-01	2.874E-01	1.242E-01	2.871E-01	11043	Rubella virus strain M33
YP_010840747.1	1	YP_010840747.1	3k33-assembly1_A-2	7.670E-01	38	0.179	148	14.100	3.699E-01	3.328E-01	1.742E-01	3.157E-01	10678	Punavirus P1
YP_010840747.1	2	YP_010840747.1	3rmr-assembly3_C	4.044E-01	35	0.138	283	8.800	3.527E-01	2.351E-01	1.972E-01	2.323E-01	123356	Hyaloperonospora parasitica
YP_010840747.1	3	YP_010840747.1	3kh2-assembly2_C	1.175E+00	35	0.138	106	17.900	3.605E-01	3.305E-01	1.541E-01	2.662E-01	10678	Punavirus P1
YP_010840747.1	4	YP_010840747.1	8p94-assembly1_G	1.800E+00	35	0.138	94	13.800	3.694E-01	3.793E-01	1.476E-01	2.485E-01	9606	Homo sapiens
YP_010840747.1	5	YP_010840747.1	7yse-assembly1_C	7.205E+00	30	0.090	84	14.200	3.878E-01	5.206E-01	1.840E-01	9.704E-02	83333	Escherichia coli K-12
YP_010840747.1	6	YP_010840747.1	3rmr-assembly2_B	1.534E+00	28	0.076	274	11.300	3.560E-01	2.378E-01	1.918E-01	2.323E-01	123356	Hyaloperonospora parasitica
YP_010840747.1	7	YP_010840747.1	7eiv-assembly1_D	7.205E+00	27	0.069	130	14.600	3.744E-01	4.105E-01	1.941E-01	1.163E-01	83333	Escherichia coli K-12
YP_010840747.1	8	YP_010840747.1	2c0k-assembly2_B	6.139E+00	26	0.063	170	8.800	3.831E-01	3.550E-01	1.876E-01	3.310E-01	84525	Gasterophilus intestinalis
YP_010840747.1	9	YP_010840747.1	5cwb-assembly1_A	5.232E+00	26	0.063	149	12.000	3.912E-01	3.099E-01	1.819E-01	2.373E-01	32630	synthetic construct
YP_010840747.1	10	YP_010840747.1	8re6-assembly1_A	4.702E+00	26	0.063	174	9.700	4.137E-01	2.783E-01	1.630E-01	1.250E-01	9606	Homo sapiens
YP_010840747.1	11	YP_010840747.1	6dec-assembly1_G	8.016E+00	26	0.063	93	10.700	3.650E-01	4.248E-01	1.542E-01	3.316E-01	9913	Bos taurus
YP_010840747.1	12	YP_010840747.1	1ya0-assembly1_A	8.918E+00	26	0.063	91	13.100	3.629E-01	4.558E-01	1.403E-01	9.785E-02	9606	Homo sapiens
YP_010840747.1	13	YP_010840747.1	2qfn-assembly1_B	1.240E+00	26	0.063	149	10.700	3.457E-01	1.903E-01	1.227E-01	1.835E-01	0	unclassified
YP_010840747.1	14	YP_010840747.1	2p03-assembly1_A	1.392E-01	26	0.063	319	15.000	3.131E-01	1.090E-01	9.471E-02	9.553E-02	9606	Homo sapiens
YP_010840747.1	15	YP_010840747.1	6zj3-assembly1_SD	4.458E+00	25	0.057	112	12.500	3.144E-01	3.386E-01	1.349E-01	2.087E-01	3039	Euglena gracilis
YP_010840747.1	16	YP_010840747.1	3n24-assembly1_A	6.139E+00	25	0.057	110	8.100	3.611E-01	3.437E-01	1.250E-01	3.125E-01	208964	Pseudomonas aeruginosa PAO1
YP_010840747.1	17	YP_010840747.1	7xc7-assembly1_D	6.830E+00	24	0.051	137	15.300	3.768E-01	3.319E-01	1.560E-01	8.714E-02	237368	Candidatus Scalindua brodae
YP_010840747.1	18	YP_010840747.1	8tno-assembly1_A	3.799E+00	24	0.051	136	16.100	3.542E-01	2.554E-01	1.367E-01	1.478E-01	32630	synthetic construct
YP_010840747.1	19	YP_010840747.1	3l34-assembly3_E	7.599E+00	24	0.051	123	8.100	3.793E-01	3.291E-01	1.268E-01	2.832E-01	208964	Pseudomonas aeruginosa PAO1
YP_010840747.1	20	YP_010840747.1	2kil-assembly1_A	6.476E+00	23	0.045	102	15.600	3.828E-01	2.783E-01	1.131E-01	1.631E-01	70863	Shewanella oneidensis
NP_944295.1	1	NP_944295.1	8jov-assembly1_l	2.367E-10	404	1.000	109	39.400	7.627E-01	9.118E-01	3.397E-01	8.387E-01	2282904	Ralstonia phage GP4
NP_944295.1	2	NP_944295.1	6ov6-assembly1_B	1.142E-05	128	1.000	254	22.000	4.722E-01	3.940E-01	2.772E-01	3.395E-01	1046627	Bizionia argentinensis JUB59
NP_944295.1	3	NP_944295.1	6ov6-assembly1_C	8.573E-06	126	1.000	257	21.700	4.644E-01	3.785E-01	2.712E-01	3.271E-01	1046627	Bizionia argentinensis JUB59
NP_944295.1	4	NP_944295.1	6ov6-assembly1_A	2.722E-06	128	1.000	274	21.100	4.426E-01	3.597E-01	2.696E-01	3.126E-01	1046627	Bizionia argentinensis JUB59
NP_944295.1	5	NP_944295.1	9in6-assembly1_Q	4.238E-04	155	1.000	95	15.700	5.964E-01	7.433E-01	2.440E-01	1.869E-01	666	Vibrio cholerae
NP_944295.1	6	NP_944295.1	8apg-assembly1_C1	1.665E-02	83	0.990	84	14.200	4.366E-01	5.517E-01	1.881E-01	1.164E-01	5702	Trypanosoma brucei brucei
NP_944295.1	7	NP_944295.1	7dqe-assembly1_E	2.956E-02	83	0.990	80	13.700	4.557E-01	5.961E-01	1.831E-01	1.274E-01	768486	Enterococcus hirae ATCC 9790
NP_944295.1	8	NP_944295.1	8ap6-assembly1_C1	1.764E-02	80	0.984	82	14.600	4.235E-01	5.390E-01	1.753E-01	1.084E-01	5702	Trypanosoma brucei brucei
NP_944295.1	9	NP_944295.1	9bru-assembly1_3	4.677E-02	77	0.975	89	21.300	4.441E-01	5.811E-01	1.995E-01	1.379E-01	10090	Mus musculus
NP_944295.1	10	NP_944295.1	6xbw-assembly1_D	5.883E-02	75	0.967	90	14.400	4.396E-01	5.863E-01	1.851E-01	1.271E-01	9913	Bos taurus
NP_944295.1	11	NP_944295.1	8ap6-assembly1_A1	4.170E-02	74	0.961	80	15.000	4.296E-01	5.503E-01	1.799E-01	1.099E-01	5702	Trypanosoma brucei brucei
NP_944295.1	12	NP_944295.1	6tba-assembly1_7A	5.931E-03	73	0.956	140	18.500	3.761E-01	4.010E-01	2.137E-01	2.174E-01	272942	Rhodobacter capsulatus SB 1003
NP_944295.1	13	NP_944295.1	7uwb-assembly1_F	5.245E-02	73	0.956	85	8.200	4.366E-01	5.562E-01	1.713E-01	1.184E-01	2708	Citrus x limon
NP_944295.1	14	NP_944295.1	5ik2-assembly1_E	8.300E-02	73	0.956	89	11.200	4.487E-01	5.948E-01	1.713E-01	1.152E-01	986075	Caldalkalibacillus thermarum TA2.A1
NP_944295.1	15	NP_944295.1	2dpy-assembly2_B	3.718E-02	72	0.949	87	14.900	4.092E-01	5.309E-01	1.830E-01	1.362E-01	602	Salmonella enterica subsp. enterica serovar Typhimurium
NP_944295.1	16	NP_944295.1	7fda-assembly1_B	6.598E-02	72	0.949	85	15.200	4.351E-01	5.673E-01	1.780E-01	1.205E-01	559292	Saccharomyces cerevisiae S288C
NP_944295.1	17	NP_944295.1	8xcg-assembly1_Z	2.768E-01	70	0.933	86	17.400	5.016E-01	6.703E-01	1.988E-01	1.064E-01	2681611	Escherichia phage Lambda
NP_944295.1	18	NP_944295.1	6wm2-assembly1_F	8.300E-02	70	0.933	85	16.400	4.391E-01	5.691E-01	1.782E-01	1.238E-01	9606	Homo sapiens
NP_944295.1	19	NP_944295.1	6f5d-assembly1_C	8.790E-02	69	0.923	80	15.000	4.325E-01	5.658E-01	1.831E-01	1.130E-01	5702	Trypanosoma brucei brucei
NP_944295.1	20	NP_944295.1	6f5d-assembly1_B	8.790E-02	69	0.923	80	15.000	4.329E-01	5.654E-01	1.831E-01	1.125E-01	5702	Trypanosoma brucei brucei
YP_010681528.1	1	YP_010681528.1	5fku-assembly1_A	3.021E-41	1454	1.000	1199	20.100	5.760E-01	7.717E-01	7.423E-01	7.134E-01	83333	Escherichia coli K-12
YP_010681528.1	2	YP_010681528.1	4iqj-assembly1_A	1.275E-45	1654	1.000	1211	21.000	6.252E-01	7.579E-01	7.337E-01	6.964E-01	271	Thermus aquaticus
YP_010681528.1	3	YP_010681528.1	4iqj-assembly1_C	3.537E-47	1721	1.000	1188	20.800	6.270E-01	7.674E-01	7.327E-01	6.944E-01	271	Thermus aquaticus
YP_010681528.1	4	YP_010681528.1	4iqj-assembly1_B	1.087E-47	1715	1.000	1170	20.800	6.163E-01	7.590E-01	7.254E-01	6.869E-01	271	Thermus aquaticus
YP_010681528.1	5	YP_010681528.1	7pu7-assembly1_A	3.575E-50	1749	1.000	1216	20.800	5.920E-01	7.449E-01	7.247E-01	7.442E-01	1773	Mycobacterium tuberculosis
YP_010681528.1	6	YP_010681528.1	2hpi-assembly1_A	4.538E-49	1761	1.000	1215	21.100	6.210E-01	7.516E-01	7.239E-01	6.989E-01	271	Thermus aquaticus
YP_010681528.1	7	YP_010681528.1	3e0d-assembly2_B	5.027E-48	1714	1.000	1217	20.800	6.200E-01	7.433E-01	7.193E-01	6.919E-01	271	Thermus aquaticus
YP_010681528.1	8	YP_010681528.1	4iqj-assembly1_D	1.100E-46	1687	1.000	1165	21.200	6.244E-01	7.559E-01	7.149E-01	6.673E-01	271	Thermus aquaticus
YP_010681528.1	9	YP_010681528.1	5lew-assembly1_A	5.764E-44	1685	1.000	989	23.500	6.392E-01	8.266E-01	6.903E-01	8.172E-01	83332	Mycobacterium tuberculosis H37Rv
YP_010681528.1	10	YP_010681528.1	5fkv-assembly1_A	1.656E-42	1468	1.000	1137	20.300	5.727E-01	7.466E-01	6.881E-01	6.633E-01	83333	Escherichia coli K-12
YP_010681528.1	11	YP_010681528.1	5fkw-assembly1_A	4.977E-41	1512	1.000	984	23.100	5.952E-01	8.163E-01	6.854E-01	8.043E-01	83333	Escherichia coli K-12
YP_010681528.1	12	YP_010681528.1	4jom-assembly1_A	2.030E-44	1634	1.000	972	23.500	6.131E-01	7.942E-01	6.654E-01	7.926E-01	83333	Escherichia coli K-12
YP_010681528.1	13	YP_010681528.1	3f2d-assembly1_A	2.359E-31	1100	1.000	1016	17.400	5.826E-01	7.376E-01	5.958E-01	6.559E-01	1462	Geobacillus kaustophilus
YP_010681528.1	14	YP_010681528.1	3f2b-assembly1_A	2.828E-31	1092	1.000	1021	17.300	5.784E-01	7.360E-01	5.954E-01	6.546E-01	1462	Geobacillus kaustophilus
YP_010681528.1	15	YP_010681528.1	4gx9-assembly1_A	1.083E-08	361	1.000	299	17.000	5.697E-01	8.204E-01	2.147E-01	7.001E-01	83333	Escherichia coli K-12
YP_010681528.1	16	YP_010681528.1	4gx9-assembly2_B	3.485E-09	382	1.000	293	17.400	5.716E-01	8.326E-01	2.127E-01	6.940E-01	83333	Escherichia coli K-12
YP_010681528.1	17	YP_010681528.1	4gx8-assembly1_A	4.575E-09	379	1.000	293	17.700	5.695E-01	8.412E-01	2.108E-01	7.051E-01	83333	Escherichia coli K-12
YP_010681528.1	18	YP_010681528.1	9etk-assembly1_A	3.259E-03	99	0.999	290	12.000	3.361E-01	4.712E-01	1.160E-01	3.979E-01	666	Vibrio cholerae
YP_010681528.1	19	YP_010681528.1	3e0f-assembly1_A	1.060E-02	91	0.997	292	11.900	3.504E-01	4.723E-01	1.138E-01	3.875E-01	367928	Bifidobacterium adolescentis ATCC 15703
YP_010681528.1	20	YP_010681528.1	5m1x-assembly1_A	4.583E-01	77	0.975	89	15.700	4.730E-01	6.219E-01	6.009E-02	4.023E-01	559292	Saccharomyces cerevisiae S288C
YP_009342304.1	1	YP_009342304.1	2izw-assembly1_C	6.252E-12	444	1.000	187	16.000	7.151E-01	8.857E-01	6.294E-01	7.701E-01	119910	Ryegrass mottle virus
YP_009342304.1	2	YP_009342304.1	2vq0-assembly1_C	1.456E-11	426	1.000	208	15.800	7.044E-01	8.763E-01	6.182E-01	7.407E-01	12558	Sesbania mosaic virus
YP_009342304.1	3	YP_009342304.1	1smv-assembly1_C	1.456E-11	430	1.000	207	15.400	7.174E-01	8.779E-01	6.176E-01	7.111E-01	12558	Sesbania mosaic virus
YP_009342304.1	4	YP_009342304.1	1x35-assembly1_C	1.630E-11	426	1.000	207	16.400	7.085E-01	8.777E-01	6.175E-01	7.021E-01	12558	Sesbania mosaic virus
YP_009342304.1	5	YP_009342304.1	4sbv-assembly1_C	1.825E-11	418	1.000	210	16.100	6.949E-01	8.673E-01	6.166E-01	7.099E-01	12139	Southern bean mosaic virus
YP_009342304.1	6	YP_009342304.1	1x33-assembly1_C	3.983E-12	441	1.000	207	15.900	6.965E-01	8.731E-01	6.145E-01	6.987E-01	12558	Sesbania mosaic virus
YP_009342304.1	7	YP_009342304.1	2zah-assembly1_C	3.797E-11	420	1.000	185	19.400	7.206E-01	8.875E-01	6.109E-01	4.811E-01	11987	Melon necrotic spot virus
YP_009342304.1	8	YP_009342304.1	1c8n-assembly1_C	7.765E-13	465	1.000	202	16.300	7.052E-01	8.680E-01	6.108E-01	7.122E-01	12054	unidentified tobacco necrosis virus
YP_009342304.1	9	YP_009342304.1	6mrl-assembly1_D	1.857E-09	351	1.000	188	18.000	6.892E-01	8.584E-01	5.929E-01	4.748E-01	165432	Cucumber leaf spot virus
YP_009342304.1	10	YP_009342304.1	1smv-assembly1_A	1.725E-11	413	1.000	197	14.700	6.740E-01	8.715E-01	5.818E-01	7.517E-01	12558	Sesbania mosaic virus
YP_009342304.1	11	YP_009342304.1	4v99-assembly1_AM	2.180E-10	374	1.000	198	17.100	6.762E-01	8.461E-01	5.813E-01	6.843E-01	652599	Panicum mosaic virus strain Kansas 109S
YP_009342304.1	12	YP_009342304.1	2izw-assembly1_B	4.716E-12	438	1.000	172	15.600	6.854E-01	8.844E-01	5.784E-01	8.152E-01	119910	Ryegrass mottle virus
YP_009342304.1	13	YP_009342304.1	2tbv-assembly1_C	4.325E-09	331	1.000	183	18.500	6.639E-01	8.475E-01	5.775E-01	4.698E-01	12145	Tomato bushy stunt virus
YP_009342304.1	14	YP_009342304.1	1c8n-assembly1_A	1.301E-11	417	1.000	192	16.100	6.770E-01	8.657E-01	5.736E-01	7.674E-01	12054	unidentified tobacco necrosis virus
YP_009342304.1	15	YP_009342304.1	4sbv-assembly1_B-31	4.251E-11	401	1.000	194	15.900	6.729E-01	8.732E-01	5.735E-01	7.312E-01	12139	Southern bean mosaic virus
YP_009342304.1	16	YP_009342304.1	4llf-assembly1_D	1.057E-09	349	1.000	184	16.800	6.682E-01	8.360E-01	5.700E-01	4.639E-01	12143	Cucumber necrosis virus
YP_009342304.1	17	YP_009342304.1	6mrl-assembly1_A	8.508E-09	329	1.000	177	18.000	6.745E-01	8.712E-01	5.678E-01	4.996E-01	165432	Cucumber leaf spot virus
YP_009342304.1	18	YP_009342304.1	3zx8-assembly1_C	1.066E-08	301	1.000	180	20.000	6.057E-01	8.285E-01	5.670E-01	5.009E-01	11988	Turnip crinkle virus
YP_009342304.1	19	YP_009342304.1	2zah-assembly1_A	6.362E-10	372	1.000	170	18.200	6.908E-01	8.869E-01	5.633E-01	4.937E-01	11987	Melon necrotic spot virus
YP_009342304.1	20	YP_009342304.1	2wlp-assembly2_B	1.183E-09	349	1.000	190	15.700	6.561E-01	8.603E-01	5.533E-01	7.309E-01	12558	Sesbania mosaic virus
YP_010740217.1	1	YP_010740217.1	4gp6-assembly1_B-2	1.946E-08	358	1.000	166	27.700	6.560E-01	8.370E-01	4.046E-01	7.772E-01	203119	Acetivibrio thermocellus ATCC 27405
YP_010740217.1	2	YP_010740217.1	4gp7-assembly1_B-2	5.222E-07	301	1.000	165	28.400	6.318E-01	8.290E-01	4.005E-01	7.615E-01	203119	Acetivibrio thermocellus ATCC 27405
YP_010740217.1	3	YP_010740217.1	4jst-assembly1_B	1.223E-07	322	1.000	165	28.400	6.327E-01	8.253E-01	3.997E-01	7.595E-01	203119	Acetivibrio thermocellus ATCC 27405
YP_010740217.1	4	YP_010740217.1	4mde-assembly1_A	1.484E-07	318	1.000	169	26.000	6.377E-01	8.166E-01	3.922E-01	7.496E-01	203119	Acetivibrio thermocellus ATCC 27405
YP_010740217.1	5	YP_010740217.1	3wfp-assembly9_B	8.317E-03	115	1.000	262	14.500	4.992E-01	5.764E-01	3.856E-01	2.991E-01	224324	Aquifex aeolicus VF5
YP_010740217.1	6	YP_010740217.1	3wfo-assembly3_C	1.285E-02	119	1.000	230	16.900	5.114E-01	6.536E-01	3.825E-01	3.130E-01	224324	Aquifex aeolicus VF5
YP_010740217.1	7	YP_010740217.1	3wfr-assembly1_E	9.162E-03	124	1.000	230	15.200	5.193E-01	6.509E-01	3.788E-01	3.001E-01	32630	synthetic construct
YP_010740217.1	8	YP_010740217.1	3wfr-assembly2_F	2.734E-03	123	1.000	266	14.600	4.619E-01	5.761E-01	3.786E-01	3.002E-01	32630	synthetic construct
YP_010740217.1	9	YP_010740217.1	3wfs-assembly2_D	2.411E-02	111	1.000	230	14.700	5.096E-01	6.456E-01	3.748E-01	2.935E-01	32630	synthetic construct
YP_010740217.1	10	YP_010740217.1	3wfr-assembly4_H	1.893E-02	103	1.000	266	15.400	4.744E-01	5.755E-01	3.729E-01	2.818E-01	32630	synthetic construct
YP_010740217.1	11	YP_010740217.1	3adb-assembly1_B	2.896E-05	155	1.000	318	18.200	4.323E-01	5.063E-01	3.719E-01	4.989E-01	243232	Methanocaldococcus jannaschii DSM 2661
YP_010740217.1	12	YP_010740217.1	3zvm-assembly1_B	7.119E-06	272	1.000	165	18.100	6.602E-01	8.588E-01	3.715E-01	3.353E-01	10090	Mus musculus
YP_010740217.1	13	YP_010740217.1	4xrp-assembly1_D	1.530E-03	180	1.000	147	21.000	6.149E-01	8.369E-01	3.657E-01	3.990E-01	553178	Capnocytophaga gingivalis ATCC 33624
YP_010740217.1	14	YP_010740217.1	1gvn-assembly1_D	4.885E-03	120	1.000	234	16.200	4.711E-01	5.947E-01	3.650E-01	4.516E-01	1314	Streptococcus pyogenes
YP_010740217.1	15	YP_010740217.1	2rhm-assembly1_A	1.685E-03	152	1.000	168	15.400	5.219E-01	7.217E-01	3.588E-01	6.274E-01	324602	Chloroflexus aurantiacus J-10-fl
YP_010740217.1	16	YP_010740217.1	2rhm-assembly2_D	1.948E-03	135	1.000	212	13.200	4.917E-01	6.163E-01	3.569E-01	6.106E-01	324602	Chloroflexus aurantiacus J-10-fl
YP_010740217.1	17	YP_010740217.1	1ko1-assembly1_B	2.481E-03	145	1.000	184	14.100	5.245E-01	6.919E-01	3.566E-01	6.847E-01	562	Escherichia coli
YP_010740217.1	18	YP_010740217.1	3zvn-assembly1_A	4.264E-05	232	1.000	165	18.100	6.219E-01	8.204E-01	3.564E-01	3.236E-01	10090	Mus musculus
YP_010740217.1	19	YP_010740217.1	9d8a-assembly1_A	3.190E-05	223	1.000	166	21.000	5.865E-01	7.802E-01	3.555E-01	6.682E-01	86630	Rhizopus azygosporus
YP_010740217.1	20	YP_010740217.1	1grq-assembly1_A	2.411E-02	116	1.000	182	14.800	5.210E-01	6.963E-01	3.554E-01	6.315E-01	54571	Streptomyces venezuelae
YP_009149176.1	1	YP_009149176.1	6l6s-assembly1_A	3.157E-06	185	1.000	207	18.800	5.463E-01	7.090E-01	4.102E-01	5.724E-01	246196	Mycolicibacterium smegmatis MC2 155
YP_009149176.1	2	YP_009149176.1	4zbz-assembly1_A	6.384E-07	222	1.000	202	19.800	6.214E-01	7.557E-01	4.095E-01	6.201E-01	273063	Sulfurisphaera tokodaii str. 7
YP_009149176.1	3	YP_009149176.1	6ail-assembly1_A	3.357E-06	193	1.000	187	17.600	5.522E-01	7.716E-01	4.094E-01	5.787E-01	246196	Mycolicibacterium smegmatis MC2 155
YP_009149176.1	4	YP_009149176.1	1ui1-assembly1_A	4.992E-07	223	1.000	201	20.800	6.098E-01	7.637E-01	4.085E-01	6.279E-01	274	Thermus thermophilus
YP_009149176.1	5	YP_009149176.1	8iil-assembly1_A	2.968E-06	195	1.000	187	18.100	5.627E-01	7.575E-01	4.085E-01	5.769E-01	246196	Mycolicibacterium smegmatis MC2 155
YP_009149176.1	6	YP_009149176.1	8iii-assembly1_A	4.854E-06	187	1.000	188	18.600	5.521E-01	7.531E-01	4.050E-01	5.747E-01	246196	Mycolicibacterium smegmatis MC2 155
YP_009149176.1	7	YP_009149176.1	8iir-assembly1_A	1.148E-05	178	1.000	188	18.600	5.552E-01	7.474E-01	4.030E-01	5.687E-01	246196	Mycolicibacterium smegmatis MC2 155
YP_009149176.1	8	YP_009149176.1	6ajr-assembly1_A	4.854E-06	189	1.000	187	17.100	5.580E-01	7.582E-01	4.029E-01	5.727E-01	246196	Mycolicibacterium smegmatis MC2 155
