protein_accession	length	esmfold_status	pdb_path
NP_040239.1	483	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/NP_040239.1.pdb
YP_010745720.1	376	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_010745720.1.pdb
YP_010749079.1	376	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_010749079.1.pdb
YP_010746283.1	384	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_010746283.1.pdb
YP_024769.1	341	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_024769.1.pdb
YP_008767022.1	376	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_008767022.1.pdb
YP_010680497.1	562	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_010680497.1.pdb
YP_009608668.1	372	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_009608668.1.pdb
YP_010748744.1	376	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_010748744.1.pdb
YP_009883539.1	775	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_009883539.1.pdb
YP_009854219.1	604	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_009854219.1.pdb
YP_009222491.1	108	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_009222491.1.pdb
YP_009836099.1	273	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_009836099.1.pdb
YP_007236711.1	248	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_007236711.1.pdb
YP_010050991.1	124	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_010050991.1.pdb
YP_010745808.1	384	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_010745808.1.pdb
YP_010745792.1	95	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_010745792.1.pdb
YP_010748116.1	95	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_010748116.1.pdb
YP_010747302.1	376	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_010747302.1.pdb
YP_009836162.1	268	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_009836162.1.pdb
YP_010653998.1	202	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_010653998.1.pdb
YP_010749003.1	376	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_010749003.1.pdb
YP_009886678.1	247	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_009886678.1.pdb
YP_010740236.1	187	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_010740236.1.pdb
YP_009821857.1	376	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_009821857.1.pdb
YP_010748338.1	384	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_010748338.1.pdb
YP_009798970.1	775	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_009798970.1.pdb
YP_008433509.1	814	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_008433509.1.pdb
YP_010746415.1	384	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_010746415.1.pdb
YP_010749736.1	100	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_010749736.1.pdb
YP_010749185.1	94	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_010749185.1.pdb
YP_010749522.1	406	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_010749522.1.pdb
YP_010582184.1	478	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_010582184.1.pdb
YP_010679936.1	190	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_010679936.1.pdb
YP_008058248.1	163	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_008058248.1.pdb
YP_009885390.1	106	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_009885390.1.pdb
YP_010746647.1	376	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_010746647.1.pdb
YP_010746359.1	95	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_010746359.1.pdb
YP_010746108.1	165	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_010746108.1.pdb
YP_010748119.1	163	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_010748119.1.pdb
YP_009884595.1	775	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_009884595.1.pdb
YP_010582395.1	173	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_010582395.1.pdb
YP_009902999.1	376	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_009902999.1.pdb
YP_001218840.1	341	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_001218840.1.pdb
YP_010746634.1	95	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_010746634.1.pdb
YP_010746869.1	376	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_010746869.1.pdb
YP_010582349.1	59	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_010582349.1.pdb
YP_009608577.1	376	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_009608577.1.pdb
YP_010681215.1	571	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_010681215.1.pdb
YP_008531952.1	775	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_008531952.1.pdb
YP_008767206.1	95	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_008767206.1.pdb
YP_010745861.1	384	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_010745861.1.pdb
YP_010746244.1	172	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_010746244.1.pdb
YP_010582611.1	163	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_010582611.1.pdb
YP_009621592.1	134	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_009621592.1.pdb
YP_010748476.1	376	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_010748476.1.pdb
YP_008239744.1	161	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_008239744.1.pdb
YP_008767193.1	376	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_008767193.1.pdb
YP_009836036.1	279	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_009836036.1.pdb
YP_009009960.1	95	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_009009960.1.pdb
YP_011217196.1	376	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_011217196.1.pdb
YP_010679955.1	377	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_010679955.1.pdb
YP_010748564.1	94	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_010748564.1.pdb
YP_010749676.1	384	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_010749676.1.pdb
YP_010665243.1	179	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_010665243.1.pdb
YP_010748759.1	95	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_010748759.1.pdb
YP_009505410.1	485	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_009505410.1.pdb
YP_010013453.1	147	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_010013453.1.pdb
YP_010680252.1	563	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_010680252.1.pdb
YP_009886159.1	153	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_009886159.1.pdb
YP_009621511.1	58	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_009621511.1.pdb
YP_010745928.1	59	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_010745928.1.pdb
YP_010653961.1	136	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_010653961.1.pdb
YP_009388567.1	285	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_009388567.1.pdb
YP_009017255.1	84	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_009017255.1.pdb
YP_011413856.1	123	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_011413856.1.pdb
YP_009886902.1	153	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_009886902.1.pdb
YP_010109673.1	37	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_010109673.1.pdb
YP_010061495.1	53	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_010061495.1.pdb
YP_010105450.1	298	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_010105450.1.pdb
YP_009789496.1	161	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_009789496.1.pdb
YP_010653554.1	46	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_010653554.1.pdb
YP_009845683.1	171	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_009845683.1.pdb
YP_009843030.1	183	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_009843030.1.pdb
YP_009837004.1	180	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_009837004.1.pdb
YP_010061497.1	62	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_010061497.1.pdb
YP_009797875.1	107	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_009797875.1.pdb
YP_010653737.1	140	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_010653737.1.pdb
YP_010101354.1	292	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_010101354.1.pdb
YP_009797879.1	183	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_009797879.1.pdb
NP_042597.1	383	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/NP_042597.1.pdb
YP_010109676.1	99	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_010109676.1.pdb
YP_010653380.1	140	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_010653380.1.pdb
NP_714934.1	99	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/NP_714934.1.pdb
YP_009118457.1	288	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_009118457.1.pdb
YP_010050814.1	82	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_010050814.1.pdb
YP_010748745.1	59	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_010748745.1.pdb
YP_010747914.1	59	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_010747914.1.pdb
YP_010087390.1	308	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_010087390.1.pdb
YP_009225983.1	74	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_009225983.1.pdb
YP_010746951.1	59	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_010746951.1.pdb
YP_010109645.1	104	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_010109645.1.pdb
YP_009886653.1	153	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_009886653.1.pdb
YP_010681753.1	115	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_010681753.1.pdb
NP_042670.1	330	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/NP_042670.1.pdb
YP_010801706.1	345	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_010801706.1.pdb
YP_010084520.1	334	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_010084520.1.pdb
YP_010109643.1	47	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_010109643.1.pdb
YP_010745989.1	59	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_010745989.1.pdb
YP_010002604.1	138	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_010002604.1.pdb
YP_010653495.1	90	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_010653495.1.pdb
YP_009797880.1	110	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_009797880.1.pdb
YP_008433355.1	131	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_008433355.1.pdb
YP_010754329.1	105	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_010754329.1.pdb
YP_009848321.1	183	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_009848321.1.pdb
NP_945023.1	58	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/NP_945023.1.pdb
YP_010748802.1	59	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_010748802.1.pdb
YP_010653776.1	46	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_010653776.1.pdb
YP_009856327.1	183	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_009856327.1.pdb
YP_010114930.1	104	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_010114930.1.pdb
YP_010653519.1	98	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_010653519.1.pdb
NP_042675.1	383	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/NP_042675.1.pdb
YP_010655658.1	83	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_010655658.1.pdb
YP_009552532.1	332	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_009552532.1.pdb
YP_009881570.1	153	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_009881570.1.pdb
YP_010790482.1	352	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_010790482.1.pdb
NP_714936.1	87	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/NP_714936.1.pdb
YP_009229901.1	271	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_009229901.1.pdb
YP_010653530.1	168	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_010653530.1.pdb
YP_009219466.1	58	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_009219466.1.pdb
YP_011413798.1	405	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_011413798.1.pdb
YP_010653882.1	140	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_010653882.1.pdb
YP_010110089.1	120	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_010110089.1.pdb
YP_010653483.1	47	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_010653483.1.pdb
YP_009303017.1	148	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_009303017.1.pdb
YP_009595780.1	148	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_009595780.1.pdb
YP_009118391.1	383	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_009118391.1.pdb
YP_009889761.1	153	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_009889761.1.pdb
YP_009880903.1	153	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_009880903.1.pdb
YP_010653381.1	148	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_010653381.1.pdb
YP_010680723.1	224	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_010680723.1.pdb
YP_009324683.1	58	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_009324683.1.pdb
YP_010653738.1	148	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_010653738.1.pdb
YP_010745862.1	59	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_010745862.1.pdb
YP_009345905.1	2777	missing_or_failed	
YP_009553485.1	943	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_009553485.1.pdb
YP_009337692.1	2909	missing_or_failed	
YP_009333521.1	884	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_009333521.1.pdb
YP_009336787.1	3290	missing_or_failed	
YP_009329997.1	1704	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_009329997.1.pdb
YP_009337393.1	1826	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_009337393.1.pdb
YP_009336552.1	3050	missing_or_failed	
YP_009337415.1	2054	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_009337415.1.pdb
YP_009345053.1	3237	missing_or_failed	
YP_009342325.1	3700	missing_or_failed	
YP_009337211.1	801	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_009337211.1.pdb
YP_009333517.1	2471	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_009333517.1.pdb
YP_009337332.1	1942	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_009337332.1.pdb
YP_009336719.1	2949	missing_or_failed	
YP_009345913.1	2693	missing_or_failed	
YP_009333485.1	2178	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_009333485.1.pdb
YP_009333565.1	1199	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_009333565.1.pdb
YP_009336648.1	1492	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_009336648.1.pdb
YP_009336700.1	1741	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_009336700.1.pdb
YP_009336753.1	1689	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_009336753.1.pdb
YP_009336568.1	3169	missing_or_failed	
YP_009333505.1	777	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_009333505.1.pdb
YP_009336940.1	1683	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_009336940.1.pdb
YP_009336701.1	818	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_009336701.1.pdb
YP_009336909.1	1570	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_009336909.1.pdb
YP_009336853.1	2067	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_009336853.1.pdb
YP_009333439.1	1596	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_009333439.1.pdb
YP_009179220.1	7070	missing_or_failed	
YP_009336744.1	951	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_009336744.1.pdb
YP_009337006.1	1586	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_009337006.1.pdb
YP_009337080.1	1510	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_009337080.1.pdb
YP_009333452.1	1786	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_009333452.1.pdb
YP_009333440.1	971	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_009333440.1.pdb
YP_009336663.1	3113	missing_or_failed	
YP_009337100.1	2904	missing_or_failed	
YP_009333504.1	1580	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_009333504.1.pdb
YP_009330121.1	1830	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_009330121.1.pdb
YP_009337654.1	1736	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_009337654.1.pdb
YP_009330050.1	3029	missing_or_failed	
YP_009333389.1	968	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_009333389.1.pdb
YP_009336584.1	825	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_009336584.1.pdb
YP_009336571.1	1820	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_009336571.1.pdb
YP_009337725.1	1675	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_009337725.1.pdb
YP_009179222.1	8037	missing_or_failed	
YP_009333579.1	3001	missing_or_failed	
YP_009337696.1	2001	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_009337696.1.pdb
YP_009336708.1	943	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_009336708.1.pdb
YP_009336710.1	1156	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_009336710.1.pdb
YP_009333545.1	2661	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_009333545.1.pdb
YP_009333602.1	2544	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_009333602.1.pdb
YP_009333566.1	1694	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_009333566.1.pdb
YP_009336758.1	1635	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_009336758.1.pdb
YP_009336687.1	3398	missing_or_failed	
YP_009336540.1	2070	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_009336540.1.pdb
YP_009329972.1	2242	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_009329972.1.pdb
YP_009336729.1	1666	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_009336729.1.pdb
YP_009336674.1	1677	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_009336674.1.pdb
YP_009337289.1	2968	missing_or_failed	
YP_009179225.1	5175	missing_or_failed	
YP_009336930.1	894	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_009336930.1.pdb
YP_009333309.1	2903	missing_or_failed	
YP_009337064.1	3354	missing_or_failed	
YP_009329963.1	2676	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_009329963.1.pdb
YP_009345045.1	1857	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_009345045.1.pdb
NP_042787.1	530	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/NP_042787.1.pdb
YP_009336567.1	3018	missing_or_failed	
YP_009336575.1	3061	missing_or_failed	
YP_009336975.1	951	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_009336975.1.pdb
YP_009336582.1	865	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_009336582.1.pdb
YP_009337629.1	2190	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_009337629.1.pdb
YP_009333509.1	1726	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_009333509.1.pdb
YP_009337372.1	3135	missing_or_failed	
YP_009345025.1	2865	missing_or_failed	
YP_009336546.1	1509	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_009336546.1.pdb
YP_009789252.1	261	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_009789252.1.pdb
YP_007236712.1	219	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_007236712.1.pdb
YP_010761409.1	308	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_010761409.1.pdb
YP_010088927.1	683	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_010088927.1.pdb
YP_009598314.1	436	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_009598314.1.pdb
YP_009505366.1	162	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_009505366.1.pdb
YP_009703177.1	706	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_009703177.1.pdb
YP_004010216.1	497	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_004010216.1.pdb
YP_009118446.1	921	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_009118446.1.pdb
YP_007010591.1	256	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_007010591.1.pdb
YP_010749105.1	755	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_010749105.1.pdb
YP_010658077.1	248	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_010658077.1.pdb
YP_010084513.1	853	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_010084513.1.pdb
YP_009703889.1	706	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_009703889.1.pdb
YP_009702854.1	706	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_009702854.1.pdb
NP_042734.1	859	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/NP_042734.1.pdb
YP_010085930.1	835	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_010085930.1.pdb
YP_009056169.1	436	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_009056169.1.pdb
YP_009796763.1	822	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_009796763.1.pdb
YP_009606733.1	637	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_009606733.1.pdb
YP_009703402.1	509	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_009703402.1.pdb
YP_010659995.1	436	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_010659995.1.pdb
YP_009785079.1	562	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_009785079.1.pdb
YP_010748109.1	728	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_010748109.1.pdb
YP_010659551.1	436	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_010659551.1.pdb
YP_009229889.1	874	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_009229889.1.pdb
YP_009191817.1	483	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_009191817.1.pdb
YP_009191407.1	767	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_009191407.1.pdb
YP_009793144.1	415	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_009793144.1.pdb
YP_009703648.1	859	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_009703648.1.pdb
YP_001129457.1	874	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_001129457.1.pdb
YP_010659803.1	436	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_010659803.1.pdb
YP_010657873.1	249	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_010657873.1.pdb
