protein_accession	predicted_label	top_probability_calibrated	context_gain	high_context_gain	nearest_homolog_identity	nearest_homolog_bits	identity_bin	context_gain_bin	low_sequence_identity	low_sequence_high_context	module_supported	hypothetical_or_unknown	family	host_group	family_holdout_split
YP_004934198.1	helicase	0.997792959213	0.000101685523987	0	54.4	415.0	50-70	0-0.05	0	0	1	0	Coetzeevirus	Bacteria	test
YP_009792093.1	portal_terminase_packaging	0.997792720795	-0.000111520290375	0	64.8	760.0	50-70	<0	0	0	1	0	Slopekvirinae	Bacteria	test
YP_006860606.1	capsid_head	0.997792243958	0.000347971916199	0	75.7	412.0	70-90	0-0.05	0	0	0	0	Geminiviridae	Viridiplantae	test
YP_010112869.1	capsid_head	0.99779176712	-2.88486480713e-05	0	89.9	927.0	70-90	<0	0	0	1	0	Loutivirinae	root	test
YP_009147568.1	tail_fiber_receptor	0.997791647911	0.000100612640381	0	69.8	182.0	50-70	0-0.05	0	0	1	0	Ackermannviridae	Bacteria	test
YP_007001464.1	lysis	0.997791647911	5.47766685486e-05	0	83.6	244.0	70-90	0-0.05	0	0	1	0	Sepvirinae	Bacteria	test
YP_009226875.1	lysis	0.997791171074	2.48551368713e-05	0	83.6	245.0	70-90	0-0.05	0	0	1	0	Sepvirinae	Bacteria	test
YP_009337160.1	polyprotein	0.9977902174	0.000750124454498	0	30	1034.0	30-50	0-0.05	0	0	1	1	Riboviria	root	test
YP_009214300.1	integrase_recombinase	0.997789859772	-0.000238358974457	0	99.1	991.0	90-100	<0	0	0	1	0	Benedictvirus	Bacteria	test
YP_007675791.1	portal_terminase_packaging	0.997789382935	0.0002800822258	0	63.3	687.0	50-70	0-0.05	0	0	1	1	Rhodovirinae	Bacteria	test
YP_010078604.1	capsid_head	0.997784793377	0.000895082950592	0	98.5	280.0	90-100	0-0.05	0	0	1	0	Gervaisevirus	Bacteria	test
YP_010665276.1	portal_terminase_packaging	0.997784554958	-3.73125076294e-05	0	25.4	211.0	20-30	<0	1	0	1	0	Wolominvirus	Bacteria	test
NP_620014.1	capsid_head	0.99778431654	0.000396847724915	0			no_hit	0-0.05	1	0	0	0	Geminiviridae	Viridiplantae	test
YP_010740151.1	integrase_recombinase	0.997782886028	0.00144463777542	0	65.1	467.0	50-70	0-0.05	0	0	1	1	Heleneionescovirinae	Bacteria	test
YP_010681641.1	integrase_recombinase	0.997781932354	0.00144439935684	0	65.1	467.0	50-70	0-0.05	0	0	1	0	Heleneionescovirinae	Bacteria	test
YP_009875557.1	portal_terminase_packaging	0.997781813145	0.00022965669632	0	59.7	640.0	50-70	0-0.05	0	0	1	0	Rhodovirinae	Bacteria	test
YP_009792097.1	lysis	0.997781574726	-9.685754776e-05	0	39.3	42.0	30-50	<0	0	0	1	0	Slopekvirinae	Bacteria	test
YP_009815861.1	nuclease	0.997781574726	-0.000264942646027	0	87.5	219.0	70-90	<0	0	0	1	0	Coralvirus	Bacteria	test
YP_010052564.1	polymerase	0.997781336308	7.73668289185e-05	0	60.5	805.0	50-70	0-0.05	0	0	1	0	Kantovirinae	Bacteria	test
YP_008857966.1	integrase_recombinase	0.997781217098	-0.000232040882111	0	98.9	988.0	90-100	<0	0	0	1	0	Benedictvirus	Bacteria	test
YP_009789395.1	polymerase	0.997780740261	0.000414788722992	0	38.6	472.0	30-50	0-0.05	0	0	1	0	Rakietenvirinae	Bacteria	test
YP_009226871.1	lysis	0.997780144215	-0.00012069940567	0	94.3	143.0	90-100	<0	0	0	1	0	Sepvirinae	Bacteria	test
YP_006489150.1	tail_fiber_receptor	0.997779667377	0.000957131385803	0	47.9	271.0	30-50	0-0.05	0	0	1	0	Twarogvirinae	Bacteria	test
YP_006489150.1	tail_assembly	0.997779667377	1.51991844177e-05	0	47.9	271.0	30-50	0-0.05	0	0	1	0	Twarogvirinae	Bacteria	test
YP_010245846.1	capsid_head	0.997779428959	0.000364482402802	0			no_hit	0-0.05	1	0	0	0	Geminiviridae	Viridiplantae	test
YP_009884622.1	tail_fiber_receptor	0.997777998447	0.000123560428619	0	83.3	220.0	70-90	0-0.05	0	0	1	0	Ackermannviridae	Bacteria	test
YP_009883561.1	tail_fiber_receptor	0.997777760029	0.000123560428619	0	83.3	220.0	70-90	0-0.05	0	0	1	0	Ackermannviridae	Bacteria	test
YP_009796482.1	tail_fiber_receptor	0.99777752161	0.00012344121933	0	83.3	220.0	70-90	0-0.05	0	0	1	0	Ackermannviridae	Bacteria	test
NP_817653.1	helicase	0.997777163982	0.000127494335175	0	78.4	440.0	70-90	0-0.05	0	0	1	0	Microwolfvirus	Bacteria	test
YP_009789271.1	nuclease	0.997776925564	0.00014728307724	0	53.6	141.0	50-70	0-0.05	0	0	1	0	Slopekvirinae	Bacteria	test
YP_010658679.1	portal_terminase_packaging	0.997775971889	-3.58819961548e-05	0	49.1	663.0	30-50	<0	0	0	1	0	Rhodovirinae	Bacteria	test
YP_453598.1	polymerase	0.997775018215	-0.00020968914032	0	54.7	885.0	50-70	<0	0	0	1	0	Xipdecavirus	Bacteria	test
YP_010746320.1	portal_terminase_packaging	0.99777418375	0.000100135803223	0	34.9	81.0	30-50	0-0.05	0	0	0	1	Guernseyvirinae	Bacteria	test
YP_009147325.1	capsid_head	0.997773826122	-3.56435775757e-05	0	29.8	145.0	20-30	<0	1	0	1	0	Ounavirinae	Bacteria	test
YP_009638100.1	capsid_head	0.997773706913	-4.25577163696e-05	0	99.6	625.0	90-100	<0	0	0	1	0	Benedictvirus	Bacteria	test
YP_009333498.1	polyprotein	0.997773349285	0.000745594501495	0	25.8	204.0	20-30	0-0.05	1	0	1	1	Riboviria	root	test
YP_010680310.1	tail_fiber_receptor	0.997771382332	0.00301688909531	0	34.2	159.0	30-50	0-0.05	0	0	1	0	Joanripponvirinae	Bacteria	test
YP_010680310.1	tail_assembly	0.997771382332	0.00328361988068	0	34.2	159.0	30-50	0-0.05	0	0	1	0	Joanripponvirinae	Bacteria	test
YP_010680310.1	ligase	0.997771382332	-0.000200212001801	0	34.2	159.0	30-50	<0	0	0	1	0	Joanripponvirinae	Bacteria	test
YP_009006057.1	capsid_head	0.997768640518	0.000168025493622	0	52.5	334.0	50-70	0-0.05	0	0	1	0	Slopekvirinae	Bacteria	test
YP_009188791.1	portal_terminase_packaging	0.9977684021	-0.000129580497742	0	65.3	766.0	50-70	<0	0	0	1	0	Slopekvirinae	Bacteria	test
YP_009838380.1	tail_fiber_receptor	0.997767567635	0.000118017196655	0	35.2	323.0	30-50	0-0.05	0	0	1	0	Ackermannviridae	Bacteria	test
YP_010653413.1	tail_fiber_receptor	0.99776661396	-0.000145733356476	0	63.9	151.0	50-70	<0	0	0	1	0	Attisvirus	Bacteria	test
YP_010653413.1	tail_assembly	0.99776661396	-0.00143384933472	0	63.9	151.0	50-70	<0	0	0	1	0	Attisvirus	Bacteria	test
YP_009198838.1	helicase	0.997766494751	0.000411748886108	0	98.1	542.0	90-100	0-0.05	0	0	1	0	Benedictvirus	Bacteria	test
YP_007349057.1	polymerase	0.997765898705	0.00141096115112	0	55.4	254.0	50-70	0-0.05	0	0	1	0	Ackermannviridae	Bacteria	test
YP_010745873.1	helicase	0.997765541077	0.000237286090851	0	73.9	726.0	70-90	0-0.05	0	0	1	0	Guernseyvirinae	Bacteria	test
YP_009886721.1	tail_fiber_receptor	0.997765183449	0.00058913230896	0	39	289.0	30-50	0-0.05	0	0	1	0	Twarogvirinae	Bacteria	test
YP_009886721.1	tail_assembly	0.997765183449	0.00315707921982	0	39	289.0	30-50	0-0.05	0	0	1	0	Twarogvirinae	Bacteria	test
YP_009635737.1	nuclease	0.997764706612	-0.000130176544189	0	83.1	275.0	70-90	<0	0	0	1	0	Microwolfvirus	Bacteria	test
YP_010013371.1	capsid_head	0.997764587402	0.000402748584747	0	55.7	128.0	50-70	0-0.05	0	0	1	0	Lclasvirinae	Bacteria	test
YP_010509938.1	capsid_head	0.997764110565	2.02655792236e-06	0	90.7	933.0	90-100	0-0.05	0	0	1	0	Loutivirinae	root	test
YP_010012473.1	tail_assembly	0.997763991356	0.0068473815918	0	32.5	104.0	30-50	0-0.05	0	0	1	0	Lclasvirinae	Bacteria	test
NP_783158.1	capsid_head	0.997763037682	0.00150191783905	0			no_hit	0-0.05	1	0	0	0	Geminiviridae	Viridiplantae	test
YP_009140158.1	polymerase	0.997762322426	0.00011146068573	0	25.9	203.0	20-30	0-0.05	1	0	1	0	Enhodamvirus	Bacteria	test
YP_453591.1	polymerase	0.997761964798	0.000563204288483	0	46.3	713.0	30-50	0-0.05	0	0	1	0	Xipdecavirus	Bacteria	test
YP_009146288.1	lysis	0.997761130333	-0.000100612640381	0	50.3	147.0	50-70	<0	0	0	1	0	Ounavirinae	Bacteria	test
YP_006990621.1	polymerase	0.997760534286	-5.73992729187e-05	0	55.3	3558.0	50-70	<0	0	0	1	0	Enquatrovirinae	Bacteria	test
YP_009854220.1	capsid_head	0.997760057449	0.000121116638184	0	58.9	512.0	50-70	0-0.05	0	0	1	0	Ackermannviridae	Bacteria	test
YP_009885381.1	tail_fiber_receptor	0.997759580612	0.00059187412262	0	38.8	288.0	30-50	0-0.05	0	0	1	0	Twarogvirinae	Bacteria	test
YP_009885381.1	tail_assembly	0.997759580612	0.0023986697197	0	38.8	288.0	30-50	0-0.05	0	0	1	0	Twarogvirinae	Bacteria	test
YP_010060632.1	lysis	0.997759461403	-2.11596488953e-05	0	87.7	498.0	70-90	<0	0	0	1	0	Benedictvirus	Bacteria	test
YP_002922841.1	portal_terminase_packaging	0.997757017612	0.000588536262512	0	41.1	385.0	30-50	0-0.05	0	0	1	0	Ounavirinae	Bacteria	test
NP_944885.2	portal_terminase_packaging	0.997756779194	0.000603556632996	0	41.1	385.0	30-50	0-0.05	0	0	1	0	Ounavirinae	Bacteria	test
YP_009324604.1	portal_terminase_packaging	0.997756540775	0.000588417053223	0	41.1	385.0	30-50	0-0.05	0	0	1	0	Ounavirinae	Bacteria	test
YP_009600253.1	portal_terminase_packaging	0.997756302357	0.000588417053223	0	41.1	385.0	30-50	0-0.05	0	0	1	0	Ounavirinae	Bacteria	test
YP_004009541.1	portal_terminase_packaging	0.997756183147	0.000436425209045	0	65.7	731.0	50-70	0-0.05	0	0	1	0	Twarogvirinae	Bacteria	test
YP_010680331.1	protease	0.997755110264	0.000115633010864	0	65.3	257.0	50-70	0-0.05	0	0	1	0	Joanripponvirinae	Bacteria	test
NP_858955.1	protease	0.997754633427	-2.79545783997e-05	0	53.3	243.0	50-70	<0	0	0	1	0	Xipdecavirus	Bacteria	test
YP_010582496.1	portal_terminase_packaging	0.99775415659	0.000523269176483	0	38.3	95.0	30-50	0-0.05	0	0	0	0	Guernseyvirinae	Bacteria	test
YP_010104382.1	helicase	0.997753918171	6.69360160828e-05	0	91.7	503.0	90-100	0-0.05	0	0	1	0	Luchadorvirus	Bacteria	test
YP_009337692.1	polyprotein	0.997753441334	0.000169217586517	0	25.1	463.0	20-30	0-0.05	1	0	1	1	Riboviria	root	test
YP_010653450.1	lysis	0.997753322124	0.000235140323639	0	69.6	102.0	50-70	0-0.05	0	0	1	0	Attisvirus	Bacteria	test
YP_009336703.1	capsid_head	0.997753202915	0.00059974193573	0			no_hit	0-0.05	1	0	1	1	Riboviria	root	test
YP_009188347.1	polymerase	0.99775236845	0.000100135803223	0	36.1	494.0	30-50	0-0.05	0	0	1	0	Slopekvirinae	Bacteria	test
YP_009203123.1	nuclease	0.997751414776	-2.521276474e-05	0	80.2	248.0	70-90	<0	0	0	1	0	Luchadorvirus	Bacteria	test
YP_010060815.1	tail_assembly	0.997747480869	0.00113183259964	0	84	460.0	70-90	0-0.05	0	0	1	0	Benedictvirus	Bacteria	test
YP_010078609.1	capsid_head	0.997745811939	-0.000192224979401	0	98.6	741.0	90-100	<0	0	0	1	0	Gervaisevirus	Bacteria	test
YP_010676152.1	portal_terminase_packaging	0.997744560242	0.000599384307861	0	41.3	385.0	30-50	0-0.05	0	0	1	0	Ounavirinae	Bacteria	test
YP_009621671.1	polymerase	0.997744441032	-2.19941139221e-05	0	32	302.0	30-50	<0	0	0	1	0	Ounavirinae	Bacteria	test
YP_009838232.1	tail_fiber_receptor	0.99774324894	5.704164505e-05	0	43.5	103.0	30-50	0-0.05	0	0	1	0	Ackermannviridae	Bacteria	test
YP_009288234.1	portal_terminase_packaging	0.99774324894	0.000595927238464	0	40.9	385.0	30-50	0-0.05	0	0	1	0	Ounavirinae	Bacteria	test
YP_009798796.1	tail_fiber_receptor	0.997742414474	0.000125527381897	0	82.5	221.0	70-90	0-0.05	0	0	1	0	Ackermannviridae	Bacteria	test
YP_009637905.1	nuclease	0.997742295265	-3.08156013489e-05	0	79.1	166.0	70-90	<0	0	0	0	0	Benedictvirus	Bacteria	test
YP_004009801.1	capsid_head	0.9977414608	0.000110626220703	0	80.8	844.0	70-90	0-0.05	0	0	1	0	Twarogvirinae	Bacteria	test
YP_009337399.1	polyprotein	0.997740626335	0.00046706199646	0	24.6	401.0	20-30	0-0.05	1	0	1	1	Riboviria	root	test
YP_009147320.1	portal_terminase_packaging	0.997740507126	0.000575244426727	0	41.1	385.0	30-50	0-0.05	0	0	1	0	Ounavirinae	Bacteria	test
YP_009333272.1	capsid_head	0.997740149498	0.00169718265533	0	33.7	166.0	30-50	0-0.05	0	0	1	1	Riboviria	root	test
YP_009211042.1	capsid_head	0.997740030289	-2.25901603699e-05	0	31.5	143.0	30-50	<0	0	0	1	0	Ounavirinae	Bacteria	test
YP_009607656.1	capsid_head	0.997739315033	-5.93066215515e-05	0	99.6	624.0	90-100	<0	0	0	1	0	Benedictvirus	Bacteria	test
YP_009600298.1	polymerase	0.997738838196	-0.000124335289001	0	31.9	292.0	30-50	<0	0	0	1	0	Ounavirinae	Bacteria	test
YP_010657984.1	capsid_head	0.997738599777	-9.67979431152e-05	0	83.3	685.0	70-90	<0	0	0	1	0	Demetervirinae	Bacteria	test
YP_010747533.1	portal_terminase_packaging	0.997737884521	0.000106811523438	0	34.9	82.0	30-50	0-0.05	0	0	0	1	Guernseyvirinae	Bacteria	test
YP_009199397.1	capsid_head	0.997737288475	-2.34246253967e-05	0	31.5	143.0	30-50	<0	0	0	1	0	Ounavirinae	Bacteria	test
YP_009342297.1	polymerase	0.997733831406	0.000168025493622	0	24.9	107.0	20-30	0-0.05	1	0	1	0	Riboviria	root	test
YP_009147361.1	polymerase	0.997731924057	0.000859916210175	0	28.3	70.0	20-30	0-0.05	1	0	1	0	Ounavirinae	Bacteria	test
YP_009337288.1	capsid_head	0.997731506824	0.0213719010353	0	30.4	207.0	30-50	0-0.05	0	0	1	1	Riboviria	root	test
YP_010747793.1	portal_terminase_packaging	0.997730433941	2.52723693848e-05	0	35.7	83.0	30-50	0-0.05	0	0	0	1	Guernseyvirinae	Bacteria	test
YP_010653518.1	lysis	0.997730076313	0.000228464603424	0	69.6	102.0	50-70	0-0.05	0	0	1	0	Attisvirus	Bacteria	test
YP_009199930.1	portal_terminase_packaging	0.997729241848	0.000141561031342	0	47.3	81.0	30-50	0-0.05	0	0	1	0	Slopekvirinae	Bacteria	test
YP_009621545.1	polymerase	0.997729003429	-6.65783882141e-05	0	31.9	300.0	30-50	<0	0	0	1	0	Ounavirinae	Bacteria	test
YP_010061912.1	integrase_recombinase	0.997728645802	-0.000108480453491	0	57.6	563.0	50-70	<0	0	0	1	0	Timshelvirus	Bacteria	test
YP_009635944.1	nuclease	0.997728288174	0.000139892101288	0	52.8	61.0	50-70	0-0.05	0	0	1	0	Lclasvirinae	Bacteria	test
YP_009146303.1	capsid_head	0.997727572918	-2.62856483459e-05	0	30	145.0	30-50	<0	0	0	1	0	Ounavirinae	Bacteria	test
YP_010667578.1	portal_terminase_packaging	0.997726857662	0.000571668148041	0	29.8	44.0	20-30	0-0.05	1	0	1	0	Menderavirus	Bacteria	test
NP_040952.1	capsid_head	0.997725903988	0.000402331352234	0	35.2	119.0	30-50	0-0.05	0	0	1	0	Geminiviridae	Viridiplantae	test
YP_009617282.1	nuclease	0.997725903988	-0.000138998031616	0	81.7	268.0	70-90	<0	0	0	1	0	Microwolfvirus	Bacteria	test
YP_009214284.1	capsid_head	0.997724831104	-5.66840171814e-05	0	99.6	625.0	90-100	<0	0	0	1	0	Benedictvirus	Bacteria	test
YP_009147536.1	tail_fiber_receptor	0.997724592686	0.000122427940369	0	86.2	568.0	70-90	0-0.05	0	0	1	0	Ackermannviridae	Bacteria	test
YP_009147536.1	tail_assembly	0.997724592686	-3.78489494324e-05	0	86.2	568.0	70-90	<0	0	0	1	0	Ackermannviridae	Bacteria	test
YP_009884639.1	portal_terminase_packaging	0.997723400593	0.00145924091339	0	80	385.0	70-90	0-0.05	0	0	1	0	Ackermannviridae	Bacteria	test
YP_009333405.1	polyprotein	0.997722804546	0.000415086746216	0	24.4	345.0	20-30	0-0.05	1	0	0	1	Riboviria	root	test
YP_001974411.1	capsid_head	0.997722566128	0.000367224216461	0			no_hit	0-0.05	1	0	0	0	Geminiviridae	Viridiplantae	test
YP_009883579.1	portal_terminase_packaging	0.997721612453	0.00145864486694	0	80	385.0	70-90	0-0.05	0	0	1	0	Ackermannviridae	Bacteria	test
YP_009796499.1	portal_terminase_packaging	0.997721374035	0.00145864486694	0	80	385.0	70-90	0-0.05	0	0	1	0	Ackermannviridae	Bacteria	test
NP_040354.1	capsid_head	0.997720897198	0.000988721847534	0			no_hit	0-0.05	1	0	0	0	Geminiviridae	Viridiplantae	test
YP_009147364.1	polymerase	0.997719943523	-8.89301300049e-05	0	31.8	289.0	30-50	<0	0	0	1	0	Ounavirinae	Bacteria	test
YP_001994877.1	nuclease	0.997719705105	-0.000227034091949	0	96.1	334.0	90-100	<0	0	0	1	0	Pukovnikvirus	Bacteria	test
YP_009886507.1	transcription_regulator	0.99771887064	0.000191211700439	0	54.6	96.0	50-70	0-0.05	0	0	1	0	Twarogvirinae	Bacteria	test
YP_009885418.1	transcription_regulator	0.997718334198	0.00019097328186	0	54.6	96.0	50-70	0-0.05	0	0	1	0	Twarogvirinae	Bacteria	test
YP_009887006.1	transcription_regulator	0.997718095779	0.00019097328186	0	54.6	96.0	50-70	0-0.05	0	0	1	0	Twarogvirinae	Bacteria	test
YP_009886758.1	transcription_regulator	0.997718095779	0.00019097328186	0	54.6	96.0	50-70	0-0.05	0	0	1	0	Twarogvirinae	Bacteria	test
YP_009889866.1	transcription_regulator	0.997717618942	0.000190734863281	0	54.6	96.0	50-70	0-0.05	0	0	1	0	Twarogvirinae	Bacteria	test
YP_009886263.1	transcription_regulator	0.997717499733	0.000190734863281	0	54.6	96.0	50-70	0-0.05	0	0	1	0	Twarogvirinae	Bacteria	test
YP_010582211.1	portal_terminase_packaging	0.99771630764	0.000531315803528	0	42.5	106.0	30-50	0-0.05	0	0	1	1	Guernseyvirinae	Bacteria	test
YP_009787913.1	lysis	0.997716188431	0.000202417373657	0	51.6	162.0	50-70	0-0.05	0	0	1	0	Rakietenvirinae	Bacteria	test
YP_009837665.1	tail_fiber_receptor	0.997715115547	7.84993171692e-05	0	69.8	182.0	50-70	0-0.05	0	0	1	0	Ackermannviridae	Bacteria	test
YP_009187877.1	helicase	0.997714996338	0.000324666500092	0	66.2	711.0	50-70	0-0.05	0	0	1	0	Sepvirinae	Bacteria	test
YP_009337384.1	capsid_head	0.997714877129	0.0010387301445	0			no_hit	0-0.05	1	0	1	1	Riboviria	root	test
YP_009277016.1	helicase	0.99771463871	-0.00021630525589	0	38.5	381.0	30-50	<0	0	0	1	0	Ackermannviridae	Bacteria	test
YP_010658388.1	portal_terminase_packaging	0.997714281082	0.000164806842804	0	65.9	952.0	50-70	0-0.05	0	0	1	0	Demetervirinae	Bacteria	test
YP_009337173.1	capsid_head	0.997714161873	0.00113654136658	0			no_hit	0-0.05	1	0	1	1	Riboviria	root	test
YP_009784850.1	lysis	0.997714042664	-0.00014853477478	0	39.3	42.0	30-50	<0	0	0	1	0	Slopekvirinae	Bacteria	test
YP_009330075.1	capsid_head	0.997713923454	0.000461339950562	0			no_hit	0-0.05	1	0	1	1	Riboviria	root	test
YP_009907997.1	lysis	0.99771296978	1.50203704834e-05	0	84.3	246.0	70-90	0-0.05	0	0	1	0	Sepvirinae	Bacteria	test
YP_007517838.1	capsid_head	0.99771130085	-9.51290130615e-05	0	76.6	478.0	70-90	<0	0	0	1	0	Pelagivirus	Bacteria	test
YP_009204828.1	capsid_head	0.99771130085	0.000103235244751	0	53.4	338.0	50-70	0-0.05	0	0	1	0	Slopekvirinae	Bacteria	test
YP_009151278.1	capsid_head	0.997711181641	-3.36766242981e-05	0	29.8	143.0	20-30	<0	1	0	1	0	Ounavirinae	Bacteria	test
YP_009836920.1	capsid_head	0.997709393501	-0.000137329101562	0	85.7	880.0	70-90	<0	0	0	1	0	Marfavirus	Bacteria	test
NP_808898.1	capsid_head	0.997709155083	0.000465273857117	0			no_hit	0-0.05	1	0	0	0	Geminiviridae	Viridiplantae	test
YP_009799461.1	polymerase	0.997709035873	3.80873680115e-05	0	60.8	818.0	50-70	0-0.05	0	0	1	0	Slopekvirinae	Bacteria	test
YP_009873670.1	capsid_head	0.997707366943	0.000407218933105	0			no_hit	0-0.05	1	0	0	0	Geminiviridae	Viridiplantae	test
NP_671470.1	capsid_head	0.997707128525	0.000658094882965	0			no_hit	0-0.05	1	0	0	0	Geminiviridae	Viridiplantae	test
YP_010657886.1	capsid_head	0.997706532478	-9.67979431152e-05	0	82.8	683.0	70-90	<0	0	0	1	0	Demetervirinae	Bacteria	test
YP_009792084.1	capsid_head	0.997705161572	5.02467155457e-05	0	53.4	339.0	50-70	0-0.05	0	0	1	0	Slopekvirinae	Bacteria	test
YP_009214218.1	lysis	0.997704565525	6.21676445007e-05	0	100	172.0	90-100	0-0.05	0	0	1	0	Yongloolinvirus	Bacteria	test
NP_859232.1	lysis	0.997704207897	-0.000141382217407	0	94.3	143.0	90-100	<0	0	0	1	0	Sepvirinae	Bacteria	test
YP_009337227.1	capsid_head	0.997702896595	0.00113487243652	0	42	231.0	30-50	0-0.05	0	0	1	1	Riboviria	root	test
YP_010681306.1	protease	0.997702658176	-5.63263893127e-05	0	64.3	252.0	50-70	<0	0	0	1	0	Joanripponvirinae	Bacteria	test
YP_009880870.1	polymerase	0.997702419758	0.00115495920181	0	48.9	231.0	30-50	0-0.05	0	0	1	0	Twarogvirinae	Bacteria	test
YP_009213149.1	lysis	0.997701704502	0.000138223171234	0	62.5	267.0	50-70	0-0.05	0	0	1	0	Siftrevirus	Bacteria	test
YP_010077871.1	polymerase	0.997701704502	0.000224053859711	0	53	134.0	50-70	0-0.05	0	0	1	0	Menderavirus	Bacteria	test
YP_004009809.1	tail_fiber_receptor	0.997700273991	-1.38282775879e-05	0	67.7	194.0	50-70	<0	0	0	1	0	Twarogvirinae	Bacteria	test
YP_009845819.1	polymerase	0.997700035572	0.00351244211197	0	31.9	103.0	30-50	0-0.05	0	0	1	0	Ackermannviridae	Bacteria	test
YP_009199290.1	lysis	0.997700035572	0.000137627124786	0	62.5	267.0	50-70	0-0.05	0	0	1	0	Sfunavirus	Bacteria	test
YP_009607569.1	lysis	0.997699797153	-0.000134229660034	0	67.4	448.0	50-70	<0	0	0	1	0	Timshelvirus	Bacteria	test
YP_010012494.1	integrase_recombinase	0.997699677944	-0.000335335731506	0	45.6	348.0	30-50	<0	0	0	1	0	Lclasvirinae	Bacteria	test
YP_009151319.1	polymerase	0.997699320316	-0.000100135803223	0	32.1	299.0	30-50	<0	0	0	1	1	Ounavirinae	Bacteria	test
YP_010660630.1	lysis	0.997697174549	-6.14523887634e-05	0	40.1	184.0	30-50	<0	0	0	1	0	Rakietenvirinae	Bacteria	test
YP_009333266.1	polymerase	0.997696936131	0.000406980514526	0	29.7	192.0	20-30	0-0.05	1	0	1	0	Riboviria	root	test
YP_223915.1	helicase	0.997696816921	3.46302986145e-05	0	56.9	431.0	50-70	0-0.05	0	0	1	0	Coetzeevirus	Bacteria	test
YP_010060900.1	tail_assembly	0.997696578503	0.00165462493896	0	97.3	511.0	90-100	0-0.05	0	0	1	0	Benedictvirus	Bacteria	test
YP_009337783.1	polymerase	0.997696340084	0.000115156173706	0	22.7	90.0	20-30	0-0.05	1	0	1	0	Riboviria	root	test
YP_009908081.1	lysis	0.997693121433	9.29832458496e-06	0	84.3	246.0	70-90	0-0.05	0	0	1	0	Sepvirinae	Bacteria	test
YP_010745939.1	helicase	0.997692584991	0.000111222267151	0	73.8	741.0	70-90	0-0.05	0	0	1	0	Guernseyvirinae	Bacteria	test
YP_009146298.1	portal_terminase_packaging	0.997692227364	0.000660836696625	0	40.6	385.0	30-50	0-0.05	0	0	1	0	Ounavirinae	Bacteria	test
YP_009792393.1	capsid_head	0.997691512108	8.46385955811e-06	0	53.4	343.0	50-70	0-0.05	0	0	1	0	Slopekvirinae	Bacteria	test
YP_009601937.1	lysis	0.99769115448	-4.05311584473e-06	0	83.6	245.0	70-90	<0	0	0	1	0	Sepvirinae	Bacteria	test
YP_010012909.1	nuclease	0.997690796852	0.000449359416962	0	46.4	89.0	30-50	0-0.05	0	0	1	0	Lclasvirinae	Bacteria	test
YP_009204823.1	polymerase	0.997690200806	9.29832458496e-05	0	35.6	490.0	30-50	0-0.05	0	0	1	0	Slopekvirinae	Bacteria	test
YP_010061435.1	lysis	0.997690081596	-0.000290274620056	0	69.6	731.0	50-70	<0	0	0	1	0	Yeceytrevirus	Bacteria	test
YP_009324609.1	capsid_head	0.997688531876	-7.9870223999e-06	0	30.3	147.0	30-50	<0	0	0	1	0	Ounavirinae	Bacteria	test
YP_010077854.1	portal_terminase_packaging	0.997688412666	0.000363290309906	0	37.9	228.0	30-50	0-0.05	0	0	1	0	Menderavirus	Bacteria	test
YP_010051065.1	nuclease	0.997687578201	-0.000261306762695	0	45.4	93.0	30-50	<0	0	0	1	0	Ruthgordonvirinae	Bacteria	test
YP_009886710.1	helicase	0.997685790062	-6.21676445007e-05	0	59.2	617.0	50-70	<0	0	0	1	0	Twarogvirinae	Bacteria	test
YP_010659738.1	polymerase	0.997684955597	-7.51614570618e-05	0	55.6	3571.0	50-70	<0	0	0	1	0	Enquatrovirinae	Bacteria	test
NP_803873.1	capsid_head	0.997684717178	0.000355541706085	0			no_hit	0-0.05	1	0	0	0	Geminiviridae	Viridiplantae	test
YP_009200793.1	portal_terminase_packaging	0.997684717178	0.000592768192291	0	41.1	385.0	30-50	0-0.05	0	0	1	0	Ounavirinae	Bacteria	test
YP_009908156.1	lysis	0.997684717178	6.79492950439e-06	0	84.3	246.0	70-90	0-0.05	0	0	1	0	Sepvirinae	Bacteria	test
YP_009819254.1	polymerase	0.997684597969	0.000198483467102	0	35.3	488.0	30-50	0-0.05	0	0	1	0	Slopekvirinae	Bacteria	test
YP_009204956.1	portal_terminase_packaging	0.997684240341	0.000592648983002	0	41.1	385.0	30-50	0-0.05	0	0	1	0	Ounavirinae	Bacteria	test
YP_009842043.1	tail_fiber_receptor	0.997683405876	0.000129401683807	0	84.2	554.0	70-90	0-0.05	0	0	1	0	Ackermannviridae	Bacteria	test
YP_009842043.1	tail_assembly	0.997683405876	-0.000134766101837	0	84.2	554.0	70-90	<0	0	0	1	0	Ackermannviridae	Bacteria	test
YP_009621711.1	capsid_head	0.997683286667	-1.28746032715e-05	0	29.5	144.0	20-30	<0	1	0	1	0	Ounavirinae	Bacteria	test
YP_003347629.1	polymerase	0.99768269062	3.70144844055e-05	0	37.2	486.0	30-50	0-0.05	0	0	1	0	Slopekvirinae	Bacteria	test
YP_007349149.1	tail_fiber_receptor	0.997682571411	0.000129163265228	0	84.2	554.0	70-90	0-0.05	0	0	1	0	Ackermannviridae	Bacteria	test
